model,factor_key,factor_name_en,factor_name_ru,input_key,official_indicator_code,official_indicator_name_en,official_indicator_name_ru,source_name,year,unit,normalization_method,observation_status,within_factor_weight,factor_weight,scoring_role,notes
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,regulatoryQuality,RQ.EST,Regulatory quality,Качество регулирования,"World Bank WGI, LPI and WDI operational indicators",2026,0-1,"robust_norm(raw, positive=True)",official_or_reference,0.12,0.14,direct_factor_formula_component,World Bank Worldwide Governance Indicators
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,ruleOfLaw,RL.EST,Rule of law,Верховенство права,"World Bank WGI, LPI and WDI operational indicators",2026,0-1,"robust_norm(raw, positive=True)",official_or_reference,0.12,0.14,direct_factor_formula_component,World Bank Worldwide Governance Indicators
BRANCH_INDEX_MGIMO_V3,I_FEAS,Operational feasibility,Операционная реализуемость,urbanPopulationPct,SP.URB.TOTL.IN.ZS,Urban population pct,"Городское население, процент населения","World Bank WGI, LPI and WDI operational indicators",2024,%,"robust_norm(raw, positive=True)",official_or_reference,0.08,0.14,direct_factor_formula_component,World Bank WDI urban population share
BRANCH_INDEX_MGIMO_V3,I_FIN,Financial feasibility,Финансовая реализуемость,npvExpectedUsd,not_applicable_modelled_component,Npv expected usd,Ожидаемая приведённая стоимость,MGIMO Branch Ranker derived model output,2026,USD,"robust_norm(raw, positive=True)",modelled,0.3,0.16,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_FIN,Financial feasibility,Финансовая реализуемость,npvPositiveProbability,not_applicable_modelled_component,Npv positive probability,Вероятность положительной приведённой стоимости,MGIMO Branch Ranker derived model output,2026,USD,probability_0_1,modelled,0.7,0.16,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_HRSTRAT,Strategic talent fit,Стратегический кадровый эффект,digitalFinanceProfileScore,not_applicable_modelled_component,Digital finance profile score,Цифровые финансы и бизнес-информатика,MGIMO Branch Ranker derived model output,2026,0-1,prepared_0_1_score,modelled,0.2,0.06,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_HRSTRAT,Strategic talent fit,Стратегический кадровый эффект,economicLegalProfileScore,not_applicable_modelled_component,Economic legal profile score,Экономико-правовой профиль,MGIMO Branch Ranker derived model output,2026,0-1,prepared_0_1_score,modelled,0.15,0.06,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_HRSTRAT,Strategic talent fit,Стратегический кадровый эффект,energyLogisticsProfileScore,not_applicable_modelled_component,Energy logistics profile score,Энергетика и логистика,MGIMO Branch Ranker derived model output,2026,0-1,prepared_0_1_score,modelled,0.15,0.06,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,addressableMarketStudents2026,not_applicable_modelled_component,Addressable market students2026,"Адресуемый пул студентов, 2026",UN World Population Prospects 2024,2026,people,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.5,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,addressableMarketStudents2035,not_applicable_modelled_component,Addressable market students2035,"Адресуемый пул студентов, 2035",UN World Population Prospects 2024,2035,people,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.15,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,addressableMarketStudents2050,not_applicable_modelled_component,Addressable market students2050,"Адресуемый пул студентов, 2050",UN World Population Prospects 2024,2050,people,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.1,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,amsGrowth2026_2035,not_applicable_modelled_component,Ams growth2026 2035,Рост адресуемого пула 2026-2035,UN World Population Prospects 2024,2026,%,"robust_norm(raw growth, positive=True)",official_or_reference,0.08,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,amsGrowth2026_2050,not_applicable_modelled_component,Ams growth2026 2050,Рост адресуемого пула 2026-2050,UN World Population Prospects 2024,2026,%,"robust_norm(raw growth, positive=True)",official_or_reference,0.07,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,educationHubScore,not_applicable_modelled_component,Education hub score,Позиция образовательного центра,UN World Population Prospects 2024,2026,0-1,prepared_0_1_score,official_or_reference,0.05,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_MARKET,Market attractiveness,Привлекательность рынка,educationScore,not_applicable_modelled_component,Education score,Образовательный контекст,UN World Population Prospects 2024,2026,0-1,prepared_0_1_score,official_or_reference,0.05,0.22,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_PROGRAM,Program-industry relevance,Программно-отраслевая релевантность,programFit,not_applicable_modelled_component,Program fit,Соответствие программ,MGIMO Branch Ranker derived model output,2026,0-1,0.65*max(profile_scores)+0.35*mean(profile_scores),modelled,1.0,0.12,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,hasExistingMgimoBranch,MGIMO_BRANCH_PRESENCE.FLAG,Has existing mgimo branch,Действующее присутствие МГИМО,MGIMO partner registry and Government of Russia Order No. 430-r,2026,flag,-0.20*existing_branch_flag,official_or_reference,-0.2,0.16,direct_penalty,MGIMO public presence reference
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,inPreparation,MGIMO_PIPELINE_STATUS.FLAG,In preparation,Проект в подготовке,MGIMO partner registry and Government of Russia Order No. 430-r,2026,flag,reference_status_flag_not_scored,official_or_reference,0.0,0.16,reference_status_not_scored,"MGIMO management status, zero score weight"
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,isDomesticRussia,ISO3166.RUS.DOMESTIC_FLAG,Is domestic russia,Россия как внутренняя юрисдикция,MGIMO partner registry and Government of Russia Order No. 430-r,2026,flag,eligibility_reference_flag_not_scored_in_index,official_or_reference,0.0,0.16,hard_filter_context,ISO 3166 country reference
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,isNonSovereignOrSpecial,ISO3166.SPECIAL_TERRITORY_FLAG,Is non sovereign or special,Особая или несамостоятельная территория,MGIMO partner registry and Government of Russia Order No. 430-r,2026,flag,eligibility_reference_flag_not_scored_in_index,official_or_reference,0.0,0.16,hard_filter_context,ISO 3166 / map boundary reference
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,isUnfriendly,RU_GOV_ORDER_430R.UNFRIENDLY_COUNTRY_FLAG,Is unfriendly,Недружественная страна по распоряжению Правительства РФ N 430-р,MGIMO partner registry and Government of Russia Order No. 430-r,2026,flag,legal_filter_gate; unfriendly => I_RUSCOMP=0,official_or_reference,0.0,0.16,multiplicative_gate,Government of Russia Order No. 430-r
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,partnerUniversitiesMgimoCount,MGIMO_PARTNER_UNIVERSITIES.COUNT,Partner universities mgimo count,Партнёрские университеты МГИМО,MGIMO partner registry and Government of Russia Order No. 430-r,2026,count,"robust_norm(log1p(raw), positive=True)",official_or_reference,0.14,0.16,direct_factor_formula_component,MGIMO partner registry
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,programFit,not_applicable_modelled_component,Program fit,Соответствие программ,MGIMO partner registry and Government of Russia Order No. 430-r,2026,0-1,prepared_0_1_score,official_or_reference,0.1,0.16,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
BRANCH_INDEX_MGIMO_V3,I_RUSCOMP,Legal-partnership context,Нормативно-партнёрский контекст,strategicHrFit,not_applicable_modelled_component,Strategic hr fit,Стратегическое кадровое соответствие,MGIMO partner registry and Government of Russia Order No. 430-r,2026,0-1,prepared_0_1_score,official_or_reference,0.12,0.16,direct_factor_formula_component,Derived/modelled component; see evidence rows for official source inputs and normalization.
