iso3,country,DATAQ,latest_observation_lag_years,platform_data_coverage_pct
NPL,Nepal,0.7473684210526315,2,100.0
BOL,Bolivia,0.7473684210526315,2,93.33333333333331
GAB,Gabon,0.7473684210526315,2,100.0
BTN,Bhutan,0.7473684210526315,2,100.0
LBN,Lebanon,0.7473684210526315,2,100.0
GIN,Guinea,0.7473684210526315,2,100.0
TZA,Tanzania,0.7473684210526315,2,100.0
BLZ,Belize,0.7473684210526315,2,100.0
VCT,St. Vincent and the Grenadines,0.7473684210526315,2,93.33333333333331
TGO,Togo,0.7473684210526315,2,100.0
COG,"Congo, Rep.",0.7473684210526315,2,100.0
IRQ,Iraq,0.7473684210526315,2,100.0
CMR,Cameroon,0.7473684210526315,2,100.0
PRK,"Korea, Dem. People's Rep.",0.7473684210526315,2,66.66666666666667
KNA,St. Kitts and Nevis,0.7473684210526315,2,93.33333333333331
WSM,Samoa,0.7473684210526315,2,100.0
TKM,Turkmenistan,0.7473684210526315,2,100.0
ZMB,Zambia,0.7473684210526315,2,100.0
BRB,Barbados,0.7473684210526315,2,93.33333333333331
ETH,Ethiopia,0.7473684210526315,2,100.0
KIR,Kiribati,0.7473684210526315,2,100.0
LSO,Lesotho,0.7473684210526315,2,100.0
GMB,"Gambia, The",0.7473684210526315,2,100.0
COD,"Congo, Dem. Rep.",0.7473684210526315,2,100.0
UGA,Uganda,0.7473684210526315,2,100.0
ATG,Antigua and Barbuda,0.7473684210526315,2,100.0
LCA,St. Lucia,0.7473684210526315,2,93.33333333333331
PLW,Palau,0.7473684210526315,2,100.0
SWZ,Eswatini,0.7473684210526315,2,100.0
NRU,Nauru,0.7473684210526315,2,86.66666666666667
PNG,Papua New Guinea,0.7473684210526315,2,100.0
NER,Niger,0.7473684210526315,2,100.0
TLS,Timor-Leste,0.7473684210526315,2,100.0
BFA,Burkina Faso,0.7473684210526315,2,100.0
SLB,Solomon Islands,0.7473684210526315,2,93.33333333333331
MOZ,Mozambique,0.7473684210526315,2,100.0
SUR,Suriname,0.7473684210526315,2,100.0
GNQ,Equatorial Guinea,0.7473684210526315,2,100.0
TON,Tonga,0.7473684210526315,2,100.0
MLI,Mali,0.7473684210526315,2,100.0
ZWE,Zimbabwe,0.7473684210526315,2,100.0
MDG,Madagascar,0.7473684210526315,2,100.0
STP,São Tomé and Principe,0.7473684210526315,2,93.33333333333331
SOM,"Somalia, Fed. Rep.",0.7473684210526315,2,93.33333333333331
TUV,Tuvalu,0.7473684210526315,2,86.66666666666667
MMR,Myanmar,0.7473684210526315,2,93.33333333333331
DMA,Dominica,0.7473684210526315,2,93.33333333333331
LBR,Liberia,0.7473684210526315,2,93.33333333333331
MHL,Marshall Islands,0.7473684210526315,2,100.0
SYR,Syrian Arab Republic,0.7473684210526315,2,100.0
BDI,Burundi,0.7473684210526315,2,93.33333333333331
YEM,"Yemen, Rep.",0.7473684210526315,2,93.33333333333331
SLE,Sierra Leone,0.7473684210526315,2,100.0
ERI,Eritrea,0.7473684210526315,2,86.66666666666667
TCD,Chad,0.7473684210526315,2,100.0
COM,Comoros,0.7473684210526315,2,100.0
AFG,Afghanistan,0.7473684210526315,2,100.0
MWI,Malawi,0.7473684210526315,2,100.0
VUT,Vanuatu,0.7473684210526315,2,100.0
GNB,Guinea-Bissau,0.7473684210526315,2,100.0
SSD,South Sudan,0.7473684210526315,2,86.66666666666667
SDN,Sudan,0.7473684210526315,2,100.0
HTI,Haiti,0.7473684210526315,2,100.0
CAF,Central African Republic,0.7473684210526315,2,100.0
MAF,St. Martin (French part),0.7473684210526315,2,33.333333333333336
ALB,Albania,0.7473684210526315,2,100.0
ASM,American Samoa,0.7473684210526315,2,80.0
AND,Andorra,0.7473684210526315,2,93.33333333333331
ABW,Aruba,0.7473684210526315,2,100.0
AUS,Australia,0.7473684210526315,2,100.0
AUT,Austria,0.7473684210526315,2,100.0
BHS,"Bahamas, The",0.7473684210526315,2,100.0
BEL,Belgium,0.7473684210526315,2,100.0
BMU,Bermuda,0.7473684210526315,2,100.0
VGB,British Virgin Islands,0.7473684210526315,2,40.0
BGR,Bulgaria,0.7473684210526315,2,100.0
CAN,Canada,0.7473684210526315,2,100.0
CYM,Cayman Islands,0.7473684210526315,2,100.0
HRV,Croatia,0.7473684210526315,2,100.0
CUW,Curaçao,0.7473684210526315,2,73.33333333333334
CYP,Cyprus,0.7473684210526315,2,100.0
CZE,Czechia,0.7473684210526315,2,100.0
DNK,Denmark,0.7473684210526315,2,100.0
EST,Estonia,0.7473684210526315,2,100.0
FRO,Faroe Islands,0.7473684210526315,2,66.66666666666667
FIN,Finland,0.7473684210526315,2,100.0
FRA,France,0.7473684210526315,2,100.0
PYF,French Polynesia,0.7473684210526315,2,60.0
DEU,Germany,0.7473684210526315,2,100.0
GIB,Gibraltar,0.7473684210526315,2,33.333333333333336
GRC,Greece,0.7473684210526315,2,100.0
GRL,Greenland,0.7473684210526315,2,93.33333333333331
GUM,Guam,0.7473684210526315,2,73.33333333333334
HKG,"Hong Kong SAR, China",0.7473684210526315,2,100.0
HUN,Hungary,0.7473684210526315,2,100.0
ISL,Iceland,0.7473684210526315,2,100.0
IRL,Ireland,0.7473684210526315,2,100.0
IMN,Isle of Man,0.7473684210526315,2,40.0
ITA,Italy,0.7473684210526315,2,100.0
JPN,Japan,0.7473684210526315,2,100.0
KAZ,Kazakhstan,0.7473684210526315,2,100.0
KOR,"Korea, Rep.",0.7473684210526315,2,100.0
XKX,Kosovo,0.7473684210526315,2,93.33333333333331
LVA,Latvia,0.7473684210526315,2,100.0
LIE,Liechtenstein,0.7473684210526315,2,80.0
LTU,Lithuania,0.7473684210526315,2,100.0
LUX,Luxembourg,0.7473684210526315,2,100.0
MAC,"Macao SAR, China",0.7473684210526315,2,100.0
MLT,Malta,0.7473684210526315,2,100.0
FSM,"Micronesia, Fed. Sts.",0.7473684210526315,2,100.0
MCO,Monaco,0.7473684210526315,2,80.0
MNE,Montenegro,0.7473684210526315,2,100.0
NLD,Netherlands,0.7473684210526315,2,100.0
NCL,New Caledonia,0.7473684210526315,2,53.333333333333336
NZL,New Zealand,0.7473684210526315,2,100.0
MKD,North Macedonia,0.7473684210526315,2,100.0
MNP,Northern Mariana Islands,0.7473684210526315,2,46.66666666666666
NOR,Norway,0.7473684210526315,2,100.0
POL,Poland,0.7473684210526315,2,100.0
PRT,Portugal,0.7473684210526315,2,100.0
PRI,Puerto Rico (US),0.7473684210526315,2,100.0
ROU,Romania,0.7473684210526315,2,100.0
RUS,Russian Federation,0.7473684210526315,2,100.0
SMR,San Marino,0.7473684210526315,2,100.0
SGP,Singapore,0.7473684210526315,2,100.0
SXM,Sint Maarten (Dutch part),0.7473684210526315,2,60.0
SVK,Slovak Republic,0.7473684210526315,2,100.0
SVN,Slovenia,0.7473684210526315,2,100.0
ESP,Spain,0.7473684210526315,2,100.0
SWE,Sweden,0.7473684210526315,2,100.0
CHE,Switzerland,0.7473684210526315,2,100.0
TCA,Turks and Caicos Islands,0.7473684210526315,2,66.66666666666667
UKR,Ukraine,0.7473684210526315,2,100.0
GBR,United Kingdom,0.7473684210526315,2,100.0
USA,United States,0.7473684210526315,2,100.0
UZB,Uzbekistan,0.7473684210526315,2,100.0
VIR,Virgin Islands (US),0.7473684210526315,2,93.33333333333331
PSE,West Bank and Gaza,0.7473684210526315,2,100.0
