country_code,country_name,basis_group,legal_basis,in_world_bank_panel,source_note
BMU,Bermuda,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
VGB,British Virgin Islands,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
CAN,Canada,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
CYM,Cayman Islands,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
GIB,Gibraltar,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
ISL,Iceland,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
IMN,Isle of Man,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
JPN,Japan,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
KOR,"Korea, Rep.",explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
LIE,Liechtenstein,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
FSM,"Micronesia, Fed. Sts.",explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
MCO,Monaco,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
MNE,Montenegro,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
NZL,New Zealand,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
MKD,North Macedonia,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
NOR,Norway,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
SMR,San Marino,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
SGP,Singapore,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
CHE,Switzerland,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
TWN,"Taiwan, China",explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",False,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
TCA,Turks and Caicos Islands,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
UKR,Ukraine,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
GBR,United Kingdom,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
USA,United States,explicit_or_uk_territory,"Распоряжение Правительства РФ от 05.03.2022 №430-р (в ред. 23.07.2022 №2018-р, 29.10.2022 №3216-р)",True,Country or territory explicitly named in the consolidated legal list or expanded UK dependency present in the World Bank panel.
